Title,month,year,date,actual,program,major,bundle
Implications of US-China economic separation,4,2020,4/15/2020,4/15/2020,NRF,1,1
Coronavirus and Protest: How COVID-19 has changed the face of American Activism,5,2020,5/26/2020,5/26/2020,SPC,0,14
Strategic Technology Competition and Allied Universities,5,2020,5/15/2020,6/8/2020,FPD,0,2
"Taiwan, US-China and COVID-19",6,2020,6/15/2020,6/15/2020,FPD,0,3
COVID-19 and Indo-Pacific Strategy,6,2020,6/15/2020,7/6/2020,FPD,1,3
Globalisation after the pandemic: reconciling openness and resilience,6,2020,6/15/2020,6/5/2020,TI,1,4
Implications of US-China Nuclear Competition for Australia,7,2020,7/15/2020,7/13/2020,FPD,0,5
Revealing and Concealing to Deter,7,2020,7/15/2020,9/15/2020,FPD,0,6
Options for the Grey Zone,8,2020,8/10/20 12:00 am,8/10/2020,FPD,1,6
Trump or Biden?: Two Playbooks for Australia,8,2020,8/15/2020,8/24/2020,whole,1,7
Trump vs Biden: economic implications,8,2020,8/15/2020,8/26/2020,whole,1,7
Restarting and expanding net overseas migration,9,2020,9/15/2020,9/21/2020,TI,1,8
Beyond the presidency: key races in the 2020 elections,9,2020,9/15/2020,9/28/2020,SPC,0,9
US Policy in the Indo-Pacific after the 2020 Election,10,2020,10/15/2020,10/15/2020,whole,1,7
Repairing public finances: US & Australian fiscal policy after the pandemic,11,2020,11/15/2020,11/23/2020,TI,1,10
The (New) President & New Congress,13,2021,1/15/2021,1/18/2021,whole,1,11
Key players in the new US administration,13,2021,1/15/2021,1/25/2021,whole,1,11
Alliance Agenda,2,2021,2/15/2021,2/15/2021,FPD,1,11
"Whither American conservatism, after 2020 and COVID-19?",3,2021,3/15/2021,3/15/2021,SPC,0,12
Building Collective Action in the Indo-Pacific,3,2021,3/15/2021,5/15/2021,FPD,1,13